TeamName,Round 1 Score,Round 2 Score,Round 3 Score,Round 4 Score,Round 5 Score,Round On,Color Red,Color Green,Color Blue,Round 4 Times,Round 5 Times
Predators,1,2,...,...,...,1,98.4,70.6,11.8,,
MakeName,0,0,...,...,...,0,147,73,33,,
Stars,4,4,...,...,...,2,0,40.4,27.8,,
MakeName,0,0,...,...,...,0,150,253,149,,
Jets,3,2,...,...,...,1,0,7.1,22,,
MakeName,0,0,...,...,...,0,202,150,67,,
Blues,1,4,...,...,...,5,0.4,14.5,32.5,May 11,May 27
MakeName,0,0,...,...,...,0,175,255,36,,
Flames,3,1,...,...,...,1,80.4,7.1,14.5,,
MakeName,0,0,...,...,...,0,205,64,53,,
Avalanche,5,4,...,...,...,2,45.5,14.5,23.5,,
MakeName,0,0,...,...,...,0,238,20,250,,
Sharks,4,4,...,...,...,3,0,42.4,45.5,May 11,
MakeName,0,0,...,...,...,0,202,68,207,,
Golden Knights,3,3,...,...,...,1,6.3,6.3,6.3,,
MakeName,0,0,...,...,...,0,249,237,80,,
Lightning,5,0,...,...,...,1,3.1,17.3,41.6,,
MakeName,0,0,...,...,...,0,137,91,209,,
Blue Jackets,3,4,...,...,...,2,0.4,14.5,32.5,,
MakeName,0,0,...,...,...,0,54,55,187,,
Bruins,5,4,...,...,...,4,100,72.9,14.9,May 9,May 27
MakeName,0,0,...,...,...,0,197,59,86,,
Maple Leafs,3,3,...,...,...,1,1.2,15.3,40.4,,
MakeName,0,0,...,...,...,0,194,214,93,,
Capitals,1,3,...,...,...,1,80.4,7.1,14.5,,
MakeName,0,0,...,...,...,0,233,179,126,,
Hurricanes,4,4,...,...,...,3,80.4,7.1,14.5,May 9,
MakeName,0,0,...,...,...,0,86,120,175,,
Islanders,4,4,...,...,...,2,2,18.8,52.5,,
MakeName,0,0,...,...,...,0,130,211,128,,
Penguins,2,0,...,...,...,1,6.3,6.3,6.3,,
MakeName,0,0,...,...,...,0,88,184,34,,
